city,lat,lon,temp,humidity,clouds,windspeed,temp_max
severo-kurilsk,50.68,156.12,1.09,89,99,15.3,1.09
nuevo progreso,23.17,-97.95,30.95,49,65,0.89,31.67
sao filipe,14.9,-24.5,22.94,73,0,6.14,22.94
east london,-33.02,27.91,18.24,61,77,9.88,18.24
bushehr,28.97,50.84,22.0,68,90,2.19,22.0
skelleftea,64.75,20.95,0.38,95,93,1.5,1.0
vitim,59.45,112.56,-4.43,95,0,1.43,-4.43
tanout,14.97,8.89,31.57,9,0,3.92,31.57
mariental,-24.63,17.97,20.67,15,25,4.37,20.67
havre-saint-pierre,50.23,-63.6,1.0,55,90,6.7,1.0
beringovskiy,63.05,179.32,-15.99,85,0,1.87,-15.99
pak phanang,8.35,100.2,26.56,83,99,2.12,26.56
khani,41.96,42.96,10.0,93,90,2.6,10.0
jalu,29.03,21.55,16.43,45,5,5.54,16.43
castro,-24.79,-50.01,19.84,71,81,2.09,19.84
alofi,-19.06,-169.92,26.0,94,98,2.6,26.0
nieuw nickerie,5.95,-56.98,27.42,79,81,6.77,27.42
otjimbingwe,-22.35,16.13,19.94,28,0,0.79,19.94
lebanon,36.21,-86.29,26.81,39,40,1.5,28.0
klyuchi,52.27,79.17,6.53,70,33,2.72,6.53
leningradskiy,69.38,178.42,-17.2,81,0,1.78,-17.2
yellowknife,62.46,-114.35,-1.85,63,75,8.7,-1.11
selma,36.57,-119.61,13.91,71,37,5.1,17.78
shimoda,34.67,138.95,5.53,83,27,4.94,6.67
avarua,-21.21,-159.78,26.0,88,75,2.1,26.0
grand gaube,-20.01,57.66,25.35,88,40,5.1,25.56
marsabit,2.33,37.99,22.32,49,78,5.21,22.32
adilabad,19.67,78.53,29.27,30,66,2.85,29.27
lompoc,34.64,-120.46,14.29,58,75,5.7,15.56
san rafael,-34.62,-68.33,17.92,22,0,4.36,17.92
kiama,-34.68,150.87,14.06,71,73,3.1,16.11
noumea,-22.28,166.46,23.0,78,100,0.5,23.0
comodoro rivadavia,-45.87,-67.5,18.0,31,0,3.6,18.0
brazzaville,-4.27,15.28,30.0,74,20,0.75,30.0
gelgaudiskis,55.08,22.98,6.56,62,9,3.95,6.56
pishva,35.31,51.73,16.23,54,75,1.1,17.0
kahului,20.89,-156.47,24.47,69,1,3.08,26.67
minab,27.15,57.08,24.0,83,0,3.1,24.0
lasa,46.62,10.7,7.05,65,5,1.0,13.0
tyup,42.73,78.36,7.3,29,3,2.07,7.3
almenara,-16.18,-40.69,24.75,80,24,1.72,24.75
santa cruz,-17.8,-63.17,28.19,83,75,4.1,30.0
egvekinot,66.32,-179.17,-18.04,80,68,0.67,-18.04
sinnamary,5.38,-52.95,27.51,78,15,6.56,27.51
talnakh,69.49,88.4,0.0,94,90,8.0,0.0
chokurdakh,70.63,147.92,-19.63,91,35,4.38,-19.63
upernavik,72.79,-56.15,-7.64,90,0,8.9,-7.64
fortuna,40.6,-124.16,12.9,66,20,6.7,14.44
gryazovets,58.88,40.25,-4.08,91,0,2.02,-4.08
berbera,10.44,45.01,28.26,75,0,2.35,28.26
avera,33.19,-82.53,27.81,35,40,4.6,29.0
nikki,9.94,3.21,30.27,43,46,4.0,30.27
whitianga,-36.83,175.7,17.78,79,79,0.89,17.78
bousso,10.48,16.71,32.53,26,23,2.84,32.53
arraial do cabo,-22.97,-42.03,27.22,74,2,6.2,29.0
kodiak,57.79,-152.41,2.0,31,40,5.1,2.0
pevek,69.7,170.31,-18.72,84,95,6.6,-18.72
aborlan,9.44,118.55,24.23,80,47,1.01,24.23
beloha,-25.17,45.05,21.56,80,2,2.93,21.56
ugoofaaru,5.67,73.0,29.4,59,3,1.6,29.4
mahebourg,-20.41,57.7,25.22,88,40,5.1,25.56
lebu,-37.62,-73.65,13.93,57,0,9.92,13.93
vanimo,-2.67,141.3,25.83,82,97,2.64,25.83
aasiaat,68.71,-52.87,-11.45,85,60,2.92,-11.45
cumana,10.46,-64.18,23.0,100,49,10.3,23.0
yima,34.74,111.88,11.38,41,83,1.03,11.38
saskylakh,71.92,114.08,-4.12,97,100,2.88,-4.12
nicoya,10.15,-85.45,36.0,37,20,7.2,36.0
lagoa,39.05,-27.98,16.43,90,100,8.33,16.43
villazon,-22.09,-65.59,16.09,16,85,7.06,16.09
angoche,-16.23,39.91,24.53,86,0,3.23,24.53
ilanskiy,56.24,96.06,-0.61,88,0,2.04,-0.61
rincon,32.3,-81.24,26.7,42,40,3.1,28.33
sorgues,44.01,4.87,11.2,70,0,2.1,13.0
sola,-13.88,167.55,28.53,79,100,13.66,28.53
nuuk,64.18,-51.72,-1.0,58,94,3.6,-1.0
port macquarie,-31.43,152.92,16.24,87,90,3.6,17.22
alihe,50.57,123.72,-3.24,88,0,2.47,-3.24
anadyr,64.75,177.48,-22.88,69,2,3.0,-22.78
faanui,-16.48,-151.75,28.57,75,2,6.31,28.57
cidreira,-30.18,-50.21,21.41,83,87,4.16,21.41
walvis bay,-22.96,14.51,15.51,87,0,2.1,16.11
wanlaweyn,2.62,44.89,27.85,66,50,6.22,27.85
ambad,19.62,75.8,26.25,20,3,2.14,26.25
juliaca,-15.5,-70.13,13.52,18,23,4.16,13.52
cabo san lucas,22.89,-109.91,25.75,28,90,1.5,28.0
thompson,55.74,-97.86,-5.0,67,75,3.1,-5.0
olinda,-8.01,-34.86,30.0,70,40,4.1,30.0
saint george,37.1,-113.58,16.31,31,20,6.2,18.89
provideniya,64.38,-173.3,-14.91,83,64,1.44,-14.91
valparaiso,-33.04,-71.63,21.81,36,0,2.6,24.0
aksarka,66.56,67.8,-8.9,97,69,2.29,-8.9
simao,22.79,100.97,13.44,32,0,0.4,13.44
zhigansk,66.77,123.37,-0.05,97,100,5.54,-0.05
marshfield,44.67,-90.17,12.76,37,90,5.7,14.0
ewa beach,21.32,-158.01,25.29,78,20,2.1,27.0
gornyy,55.12,83.91,1.45,92,100,2.86,1.45
pontes e lacerda,-15.23,-59.34,26.35,80,83,0.37,26.35
chuy,-33.7,-53.46,16.61,51,1,8.06,16.61
salalah,17.02,54.09,27.0,88,0,1.0,27.0
severnyy,50.68,36.55,6.0,33,66,2.0,6.0
luwuk,-0.95,122.79,27.08,69,95,1.29,27.08
ingham,42.6,-84.38,15.33,14,1,3.6,16.11
port augusta,-32.5,137.77,13.8,93,88,1.0,14.44
ostrovnoy,68.05,39.51,-8.75,95,94,2.32,-8.75
bima,-8.47,118.72,25.18,84,98,1.1,25.18
biak,-0.91,122.88,26.81,70,94,1.6,26.81
zabaykalsk,49.63,117.32,-3.51,76,0,1.78,-3.51
yerbogachen,61.28,108.01,-4.24,93,66,1.74,-4.24
karatuzskoye,53.61,92.87,3.6,73,96,1.71,3.6
coahuayana,18.73,-103.68,29.0,45,20,5.1,29.0
loiza,18.43,-65.88,28.1,74,75,6.7,29.44
smoky lake,54.12,-112.47,-1.67,63,23,1.79,-1.67
san patricio,19.22,-104.7,29.0,79,40,4.1,29.0
aswan,24.09,32.91,27.28,19,0,6.93,27.28
requena,39.49,-1.1,13.3,82,40,3.1,16.0
rovnoye,50.78,46.05,1.23,74,34,8.37,1.23
hithadhoo,-0.6,73.08,28.71,64,6,1.69,28.71
asfi,32.3,-9.24,17.87,80,24,5.02,17.87
zilair,52.23,57.44,-3.84,92,46,4.14,-3.84
terrace,54.52,-128.6,6.0,60,75,10.8,6.0
cockburn town,21.46,-71.14,24.97,67,0,4.72,24.97
cumaral,4.27,-73.49,32.0,59,40,2.1,32.0
macklin,52.33,-109.93,-2.76,84,96,5.08,-2.76
tasiilaq,65.61,-37.64,-3.0,92,100,1.0,-3.0
rangapara,26.82,92.65,21.82,30,4,2.33,21.82
dorado,18.46,-66.27,28.07,74,40,5.7,29.44
saint-joseph,-21.37,55.62,19.99,73,7,3.6,24.0
ostersund,63.18,14.64,8.0,49,52,5.7,8.0
san quintin,30.48,-115.95,17.54,54,1,5.01,17.54
tafalla,42.53,-1.67,11.69,93,75,1.0,13.0
west bay,19.37,-81.42,28.92,70,20,2.6,30.0
lalin,42.72,-8.12,12.68,82,40,0.5,15.0
yakymivka,46.69,35.15,6.57,57,0,3.05,6.57
jacqueville,5.21,-4.41,29.0,83,20,2.1,29.0
gao,16.64,1.64,31.51,9,0,4.33,31.51
imeni poliny osipenko,52.42,136.49,-3.91,94,100,8.84,-3.91
araouane,18.9,-3.53,30.37,10,0,4.13,30.37
weinan,34.5,109.51,12.91,70,97,1.0,13.89
airai,-8.93,125.41,15.77,67,13,0.88,15.77
ixtapa,20.7,-105.2,26.61,74,75,5.7,27.22
hay river,60.82,-115.8,0.0,94,40,5.7,0.0
jacareacanga,-6.22,-57.75,33.0,66,20,2.1,33.0
bilibino,68.05,166.44,-18.19,78,100,0.52,-18.19
nishihara,26.18,127.76,16.58,82,75,2.6,18.0
jodhpur,26.29,73.03,27.15,16,0,2.79,27.15
jaisalmer,26.91,70.92,29.89,17,41,5.06,29.89
deputatskiy,69.3,139.9,-13.66,89,84,4.48,-13.66
novomyrhorod,48.78,31.64,6.71,53,0,0.88,6.71
kawambwa,-9.79,29.08,17.71,62,91,0.68,17.71
muisne,0.6,-80.03,28.0,88,75,2.1,28.0
raga,8.46,25.68,27.32,26,64,0.44,27.32
wuning,29.26,120.23,6.67,92,46,0.45,6.67
zhezkazgan,47.8,67.71,9.64,43,100,4.66,9.64
nicolas bravo,18.45,-88.92,31.0,62,40,7.7,31.0
buraydah,26.33,43.98,27.0,61,75,4.6,27.0
thinadhoo,0.53,72.93,29.01,66,25,0.88,29.01
sapa,5.15,120.32,27.48,73,86,1.09,27.48
brae,60.4,-1.35,7.33,75,36,9.8,8.0
ancud,-41.87,-73.82,13.0,54,13,4.1,13.0
srednekolymsk,67.45,153.68,-10.87,92,94,7.11,-10.87
turan,16.07,108.22,24.0,78,75,2.1,24.0
tortoli,39.93,9.66,13.0,93,20,4.6,13.0
port-gentil,-0.72,8.78,24.14,91,100,6.18,24.14
eldoret,0.52,35.27,13.84,47,99,1.68,13.84
tromso,69.65,18.96,-0.15,86,75,10.3,0.0
launceston,-41.45,147.17,3.72,86,5,3.1,4.44
atambua,-9.11,124.89,23.2,78,56,1.3,23.2
novi iskar,42.8,23.35,2.4,55,24,2.6,5.56
vardo,70.37,31.11,-3.0,79,75,5.7,-2.0
eyl,7.98,49.82,27.13,75,1,4.99,27.13
pangnirtung,66.15,-65.71,-12.0,66,20,2.02,-12.0
rivera,-30.91,-55.55,21.31,36,0,4.97,21.31
betulia,6.11,-75.98,23.02,50,75,2.1,24.0
bolama,11.58,-15.47,26.18,68,0,6.32,26.18
bethel,41.37,-73.41,16.76,25,1,5.7,18.33
qaqortoq,60.72,-46.03,-2.0,33,0,4.6,-2.0
baykit,61.67,96.37,-2.49,94,4,1.26,-2.49
tres palos,18.18,-101.62,30.0,58,5,5.1,30.0
iquitos,-3.75,-73.25,6.0,100,75,2.1,6.0
kletskaya,49.31,43.06,0.68,76,4,5.13,0.68
iberia,29.95,-91.75,26.43,58,40,4.1,28.0
udayagiri,20.13,84.38,22.93,31,0,0.77,22.93
hof,50.32,11.92,8.52,61,1,1.65,11.67
mitu,1.2,-70.17,26.34,90,100,1.02,26.34
sorland,67.67,12.69,6.0,60,100,3.6,6.0
esperance,-33.87,121.9,16.0,87,90,4.1,16.0
qasigiannguit,68.82,-51.19,-11.0,56,100,5.7,-11.0
naze,28.37,129.48,15.0,87,90,0.5,15.0
kenai,60.55,-151.26,-2.52,42,1,6.7,-2.0
mocuba,-16.84,36.99,21.7,85,0,1.82,21.7
vargashi,55.36,65.85,3.28,89,100,1.43,3.28
svetlyy,54.67,20.13,7.0,48,0,3.0,7.0
ahuimanu,21.44,-157.84,25.35,61,75,3.1,27.0
sosua,19.77,-70.52,28.03,78,75,8.2,30.0
general roca,-39.03,-67.58,18.0,25,0,3.1,18.0
kemlya,54.7,45.24,-1.09,85,2,6.78,-1.09
novyy urengoy,66.08,76.63,-1.36,98,97,1.55,-1.36
te anau,-45.42,167.72,11.66,74,67,2.88,11.66
nantucket,41.28,-70.1,11.67,34,1,2.84,14.44
eureka,40.8,-124.16,12.87,66,20,7.2,13.33
alta floresta,-9.88,-56.09,28.1,77,93,1.36,28.1
ilulissat,69.22,-51.1,-11.0,56,91,5.7,-11.0
iranduba,-3.28,-60.19,26.5,88,75,2.1,27.0
shache,38.42,77.24,13.18,21,0,2.36,13.18
safaga,26.73,33.94,25.0,31,0,6.7,25.0
yar-sale,66.83,70.83,-6.88,98,93,2.6,-6.88
bay roberts,47.6,-53.26,-0.36,80,90,11.3,0.56
tazovskiy,67.47,78.7,-2.72,98,100,1.99,-2.72
the valley,18.22,-63.06,31.0,66,20,3.1,31.0
wesley,15.57,-61.32,29.0,79,75,2.6,29.0
mantua,45.17,10.78,12.92,53,0,2.1,15.0
gambela,8.25,34.58,28.0,43,30,1.39,28.0
pandamatenga,-18.53,25.63,19.64,48,1,1.67,19.64
khuzhir,53.19,107.34,-3.35,84,0,5.58,-3.35
aiken,33.58,-81.6,27.82,44,75,5.1,28.89
miranda,3.25,-76.23,31.0,52,75,3.1,31.0
norman wells,65.28,-126.83,-5.0,53,40,5.7,-5.0
oum hadjer,13.3,19.7,29.31,11,0,1.54,29.31
atuona,-9.8,-139.03,27.92,76,5,6.88,27.92
yumen,40.28,97.2,6.96,25,6,2.04,6.96
ankazoabo,-22.28,44.52,20.32,84,6,1.15,20.32
saint paul,44.94,-93.09,14.43,54,1,4.1,15.56
gornopravdinsk,60.05,69.9,0.18,97,100,3.36,0.18
coruripe,-10.13,-36.18,27.43,80,69,4.16,27.43
picos,-7.08,-41.47,25.12,82,100,1.1,25.12
vostok,46.49,135.88,-3.61,88,94,0.84,-3.61
valdivia,-39.81,-73.25,18.0,42,1,5.1,18.0
santa fe,-31.63,-60.7,23.01,27,0,0.89,23.89
elko,41.0,-115.5,11.79,22,75,2.6,12.22
almaznyy,48.04,40.05,4.0,25,0,3.0,4.0
kieta,-6.22,155.63,26.67,72,95,1.61,26.67
yatou,37.15,122.38,7.96,67,0,3.5,7.96
harper,4.38,-7.72,27.9,83,7,3.06,27.9
nkayi,-4.18,13.29,24.59,85,95,1.09,24.59
mackay,-21.15,149.2,20.43,94,40,3.6,21.67
bocas del toro,9.33,-82.25,25.56,44,100,1.79,25.56
ratnagiri,16.98,73.3,24.29,80,41,0.72,24.29
nome,64.5,-165.41,-15.78,77,1,9.3,-15.56
laguna,38.42,-121.42,12.63,58,75,3.1,15.0
san andres,12.58,-81.7,31.0,70,40,5.7,31.0
mumford,5.26,-0.76,27.82,85,4,3.8,27.82
teruel,40.67,-0.67,10.87,100,20,4.6,12.0
rio verde de mato grosso,-18.92,-54.84,27.66,70,81,0.48,27.66
bambanglipuro,-7.95,110.28,25.54,82,99,1.6,25.54
stantsionno-oyashinskiy,55.47,83.82,1.69,94,100,2.89,1.69
canon city,38.44,-105.24,18.4,9,1,5.7,24.44
portland,45.52,-122.68,14.59,54,75,2.1,16.67
tubuala,9.52,-79.03,34.74,44,40,5.7,35.0
moravsky krumlov,49.05,16.31,10.15,34,0,5.1,12.78
panalingaan,8.78,117.42,26.81,76,81,1.47,26.81
balgazyn,51.0,95.2,-3.73,78,8,1.03,-3.73
nanakuli,21.39,-158.15,25.3,78,20,2.1,27.0
opuwo,-18.06,13.84,23.06,32,54,0.89,23.06
san javier,37.81,-0.84,14.62,82,40,2.1,15.56
marsa matruh,31.35,27.25,15.0,58,1,3.1,15.0
dunedin,-45.87,170.5,14.14,92,86,4.72,14.44
tunceli,39.11,39.55,8.68,75,40,2.6,10.0
chernyshevskiy,63.01,112.47,-7.48,95,6,2.46,-7.48
cedar city,37.68,-113.06,13.02,33,75,8.7,14.0
nelson bay,-32.72,152.15,15.75,93,75,4.6,17.22
batagay-alyta,67.8,130.41,-10.56,84,93,2.25,-10.56
cukai,4.25,103.42,25.78,94,20,2.51,26.0
giyon,8.53,37.98,18.86,25,45,7.74,18.86
urucara,-2.54,-57.76,27.16,93,100,1.2,27.16
faya,18.39,42.45,18.5,63,34,2.1,19.0
oranjestad,12.52,-70.03,30.0,74,75,8.2,30.0
fairbanks,64.84,-147.72,-9.81,78,90,7.2,-8.89
wad madani,14.4,33.52,30.77,14,55,2.3,30.77
nouadhibou,20.93,-17.03,22.0,64,0,7.2,22.0
teeli,51.03,90.23,-0.47,60,70,0.28,-0.47
nova role,50.27,12.78,8.23,52,0,0.5,10.0
rocha,-34.48,-54.33,14.77,54,0,5.84,14.77
dicabisagan,17.08,122.42,24.81,81,7,3.37,24.81
kaeo,-35.1,173.78,14.44,94,30,1.34,14.44
pilar,-9.6,-35.96,28.0,78,20,4.1,28.0
traverse city,44.76,-85.62,10.86,31,90,3.1,15.0
khasan,42.43,130.64,4.13,68,44,11.29,4.13
kamenka,51.32,42.77,-1.67,52,4,4.61,-1.67
makakilo city,21.35,-158.09,25.32,78,20,2.1,27.0
mehamn,71.04,27.85,-2.72,79,40,7.7,-1.0
pacific grove,36.62,-121.92,8.44,71,75,3.1,12.0
mastic beach,40.77,-72.85,16.04,23,1,4.1,18.33
bara,10.37,10.73,32.53,38,57,7.26,32.53
mount isa,-20.73,139.5,20.0,32,99,6.2,20.0
necochea,-38.55,-58.74,13.69,71,14,7.6,14.44
gushi,34.64,109.58,12.7,38,98,0.39,12.7
crotone,39.09,17.12,12.16,72,45,2.76,12.16
mujiayingzi,42.12,118.78,0.24,51,0,3.93,0.24
port hedland,-20.32,118.57,24.0,88,75,2.1,24.0
troitskoye,52.98,84.68,3.06,90,100,2.35,3.06
taoudenni,22.68,-3.98,30.06,12,0,6.01,30.06
buchanan,5.88,-10.05,25.0,88,75,1.5,25.0
baijiantan,45.63,85.18,15.7,40,73,3.01,15.7
broome,42.25,-75.83,13.02,23,1,4.6,14.44
zambezi,-13.54,23.1,19.28,63,0,1.43,19.28
pokosnoye,55.53,101.05,-1.62,84,0,2.81,-1.62
lata,40.16,-8.33,15.02,93,75,4.6,16.11
namibe,-15.2,12.15,23.5,61,0,3.68,23.5
stromness,58.97,-3.3,6.87,75,95,5.1,7.22
high prairie,55.43,-116.49,0.22,76,100,2.81,0.22
la ronge,55.1,-105.28,-4.0,85,90,5.7,-4.0
vila franca do campo,37.72,-25.43,17.0,93,75,4.6,17.0
winona,43.97,-91.77,11.44,71,90,3.1,12.78
todos santos,23.45,-110.22,24.56,18,90,7.7,28.0
lahan,26.73,86.5,22.97,20,0,1.39,22.97
turukhansk,65.82,87.98,1.17,97,100,4.44,1.17
matagami,49.75,-77.63,2.0,47,1,5.1,2.0
foso,5.7,-1.29,26.18,82,19,1.53,26.18
visby,57.64,18.3,7.45,56,80,4.6,8.33
hammerfest,70.66,23.68,-0.46,80,75,8.2,1.0
mao,39.89,4.27,13.0,76,29,2.1,13.0
chikhli,20.35,76.25,26.86,18,17,1.98,26.86
klaksvik,62.23,-6.59,5.0,64,20,6.7,5.0
manggar,-2.88,108.27,26.58,76,87,2.42,26.58
bairiki,1.33,172.98,28.0,83,40,1.0,28.0
pochutla,15.74,-96.47,32.56,49,5,5.1,33.0
molteno,-31.4,26.36,8.96,31,45,2.55,8.96
tateyama,34.98,139.87,9.15,46,32,4.6,10.0
xuddur,4.12,43.89,26.83,54,25,6.52,26.83
forrest city,35.01,-90.79,24.7,50,40,4.6,25.56
camopi,3.17,-52.32,27.13,82,77,2.11,27.13
maragogi,-9.01,-35.22,27.22,78,9,3.78,27.22
san cristobal,7.77,-72.22,31.0,58,40,3.6,31.0
talaya,61.38,152.75,-13.73,83,3,0.97,-13.73
jumla,29.27,82.18,5.18,26,7,2.19,5.18
georgetown,5.41,100.34,26.73,88,40,5.1,28.0
dikson,73.51,80.55,-13.27,95,97,6.16,-13.27
middelburg,-25.78,29.46,15.85,32,0,1.19,15.85
meiktila,20.87,95.87,23.6,42,6,3.64,23.6
xiuyan,40.29,123.27,4.73,60,8,3.2,4.73
